permit_id,permit_number,parcel_number,permit_date,activity_year,permit_type,work_type,permit_status,permit_amount,permit_segment,permit_growth_signal,development_domain,permit_value_class,permit_status_stage,permit_signal_score,is_map_relevant,is_future_prediction_relevant,classification_reason
5487973,BU2025-03824,56233743740000,2025-12-31,2025,new_construction,residential_new,inspections,120000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5488698,BU2025-03804,46820470630000,2025-12-30,2025,new_construction,residential_new,inspections,226797.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5503904,BU2025-03810,66032487770000,2025-12-30,2025,new_construction,residential_new,inspections,630000.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5507937,BU2025-03807,55173478490000,2025-12-30,2025,new_construction,residential_new,inspections,227200.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5507970,BU2025-03813,56128047760000,2025-12-30,2025,new_construction,residential_new,inspections,125000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5490601,BU2025-03801,46820470980000,2025-12-29,2025,new_construction,residential_new,inspections,201545.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5490702,BU2025-03796,55381884250000,2025-12-23,2025,commercial_new_construction,commercial_new,inspections,2800000.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5494859,BU2025-03792,55173458980000,2025-12-23,2025,new_construction,residential_new,inspections,185800.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5478595,BU2025-03762,56107406770000,2025-12-19,2025,new_construction,residential_new,inspections,131851.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5480689,BU2025-03738,55079256990000,2025-12-18,2025,new_construction,residential_new,inspections,115000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5452471,BU2025-03742,55643914680000,2025-12-17,2025,new_construction,residential_new,inspections,177680.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5477876,BU2025-03744,55076726070000,2025-12-17,2025,new_construction,residential_new,inspections,120000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5482133,BU2025-03741,55376948060000,2025-12-17,2025,new_construction,residential_new,inspections,199400.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5489461,BU2025-03751,55643933270000,2025-12-17,2025,new_construction,residential_new,inspections,191700.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5487938,BU2025-03724,55762699720000,2025-12-16,2025,new_construction,residential_new,inspections,133458.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5492667,BU2025-03730,56106919350000,2025-12-16,2025,new_construction,residential_new,inspections,357251.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5497360,BU2025-03727,56209530020000,2025-12-16,2025,new_construction,residential_new,inspections,115000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5504510,BU2025-03729,56407685070000,2025-12-16,2025,new_construction,residential_new,inspections,314084.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5484876,BU2025-03722,55762790070000,2025-12-15,2025,new_construction,residential_new,inspections,113158.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5473445,BU2025-03709,46728474390000,2025-12-12,2025,new_construction,residential_new,inspections,192038.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5476289,BU2025-03710,55170366570000,2025-12-12,2025,new_construction,residential_new,inspections,100500.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5477564,BU2025-03690,46728464790000,2025-12-12,2025,new_construction,residential_new,inspections,124668.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5503761,BU2025-03704,56136902110001,2025-12-12,2025,upfit,commercial_upfit,inspections,424660.48,commercial_activity,major_growth,commercial,high_value,active_construction,100.0,True,True,major_new_growth
5474766,BU2025-03684,55068379170000,2025-12-11,2025,new_construction,residential_new,inspections,370000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5474877,BU2025-03680,55164104040000,2025-12-11,2025,new_construction,residential_new,inspections,324534.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5490652,BU2025-03683,55174418260000,2025-12-11,2025,new_construction,residential_new,inspections,243600.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5500820,BU2025-03687,55174551700000,2025-12-11,2025,new_construction,residential_new,inspections,199900.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5505941,BU2025-03688,55196554880000,2025-12-11,2025,new_construction,residential_new,inspections,580900.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5506045,BU2025-03685,56210076910000,2025-12-11,2025,new_construction,residential_new,inspections,150000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5507081,BU2025-03665,56129041940000,2025-12-10,2025,new_construction,residential_new,inspections,150000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5507082,BU2025-03667,56129051220000,2025-12-10,2025,new_construction,residential_new,inspections,150000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5474908,BU2025-03636,55261078150000,2025-12-09,2025,new_construction,residential_new,issued,590000.0,residential_growth,major_growth,residential,major_value,issued_or_starting,100.0,True,True,major_new_growth
5506522,BU2025-03661,56129041970000,2025-12-09,2025,new_construction,residential_new,inspections,150000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5476169,BU2025-03643,45892767620000,2025-12-08,2025,upfit,commercial_upfit,inspections,641000.0,commercial_activity,major_growth,commercial,major_value,active_construction,100.0,True,True,major_new_growth
5495733,BU2025-03644,46816230420000,2025-12-08,2025,new_construction,residential_new,inspections,282296.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5496709,BU2025-03643,45892860110000,2025-12-08,2025,upfit,commercial_upfit,inspections,641000.0,commercial_activity,major_growth,commercial,major_value,active_construction,100.0,True,True,major_new_growth
5497212,BU2025-03646,46816139970000,2025-12-08,2025,new_construction,residential_new,inspections,239951.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5497213,BU2025-03647,46816221750000,2025-12-08,2025,new_construction,residential_new,inspections,317600.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5474152,BU2025-03629,56515296350000,2025-12-05,2025,new_construction,residential_new,inspections,690000.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5502598,BU2025-03591,45891799610000,2025-12-05,2025,upfit,commercial_upfit,inspections,419000.0,commercial_activity,major_growth,commercial,high_value,active_construction,100.0,True,True,major_new_growth
5485354,BU2025-03613,46814890940000,2025-12-04,2025,new_construction,residential_new,inspections,269689.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5475010,BU2025-03527,56129553990000,2025-12-03,2025,new_construction,residential_new,inspections,115117.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5475012,BU2025-03536,56129554810000,2025-12-03,2025,new_construction,residential_new,inspections,116543.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5475014,BU2025-03531,56129554830000,2025-12-03,2025,new_construction,residential_new,inspections,109958.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5483736,BU2025-03592,55447838530000,2025-12-03,2025,new_construction,residential_new,inspections,181323.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5493525,BU2025-03525,56129553970000,2025-12-03,2025,new_construction,residential_new,inspections,115117.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5493526,BU2025-03236,56129563030000,2025-12-03,2025,new_construction,residential_new,inspections,116543.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5493527,BU2025-03523,56129563050000,2025-12-03,2025,new_construction,residential_new,inspections,109958.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5495944,BU2025-03599,55174466360000,2025-12-03,2025,new_construction,residential_new,inspections,432862.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5500018,BU2025-03597,55174426590000,2025-12-02,2025,new_construction,residential_new,inspections,340287.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5320145,BU2025-03582,45896608890000,2025-12-01,2025,upfit,commercial_upfit,inspections,529444.0,commercial_activity,major_growth,commercial,major_value,active_construction,100.0,True,True,major_new_growth
5507964,BU2025-03585,56104999440000,2025-12-01,2025,new_construction,residential_new,inspections,303855.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5508693,BU2025-02039,56014068540000,2025-12-01,2025,new_construction,residential_new,inspections,100000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5302085,BU2025-03518,46737065450000,2025-11-25,2025,residential_manufactored_home,residential_mobile,inspections,195000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5478489,BU2025-03565,55345226990000,2025-11-25,2025,new_construction,residential_new,inspections,283000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5483740,BU2025-03554,55762790690000,2025-11-25,2025,new_construction,residential_new,inspections,131660.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5496522,BU2025-03561,55274885500000,2025-11-25,2025,new_construction,residential_new,inspections,300000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5497149,BU2025-03562,56624725330000,2025-11-25,2025,new_construction,residential_new,inspections,250000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5500169,BU2025-03564,56104999490000,2025-11-25,2025,new_construction,residential_new,inspections,292500.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5500218,BU2025-03550,46820369930000,2025-11-25,2025,new_construction,residential_new,inspections,201545.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5507719,BU2025-03551,45981860890000,2025-11-25,2025,upfit,commercial_upfit,inspections,3990000.0,commercial_activity,major_growth,commercial,major_value,active_construction,100.0,True,True,major_new_growth
5474226,BU2025-03418,45997826100000,2025-11-24,2025,commercial_new_construction,commercial_new,issued,1594586.15,residential_growth,major_growth,residential,major_value,issued_or_starting,100.0,True,True,major_new_growth
5484312,BU2025-03539,56605626410000,2025-11-24,2025,new_construction,residential_new,inspections,190627.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5488007,BU2025-03540,66035264120000,2025-11-24,2025,new_construction,residential_new,inspections,340950.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5492903,BU2025-03547,55174425900000,2025-11-24,2025,new_construction,residential_new,inspections,214007.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5493663,BU2025-03521,55643925780000,2025-11-21,2025,new_construction,residential_new,inspections,151025.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5501139,BU2025-03530,55643936250000,2025-11-21,2025,new_construction,residential_new,inspections,144925.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5505399,BU2025-03529,56225213390000,2025-11-21,2025,upfit,commercial_upfit,inspections,1207500.0,commercial_activity,major_growth,commercial,major_value,active_construction,100.0,True,True,major_new_growth
5327430,BU2025-03510,46728446140000,2025-11-20,2025,new_construction,residential_new,inspections,167678.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5498380,BU2025-03412,46814873600000,2025-11-20,2025,new_construction,residential_new,inspections,229524.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5508525,BU2025-03511,55092178890000,2025-11-20,2025,commercial_new_construction,commercial_new,inspections,1500000.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5465148,BU2025-03457,56627719040000,2025-11-19,2025,residential_manufactored_home,residential_mobile,inspections,265500.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5481195,BU2025-03491,55174436880000,2025-11-19,2025,new_construction,residential_new,inspections,249985.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5497210,BU2025-03410,46814890330000,2025-11-19,2025,new_construction,residential_new,inspections,309504.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5497357,BU2025-03502,56139646140000,2025-11-19,2025,new_construction,residential_new,inspections,135000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5508071,BU2025-03506,46814884110000,2025-11-19,2025,new_construction,residential_new,inspections,233864.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5482085,BU2025-03487,55173540690000,2025-11-18,2025,new_construction,residential_new,inspections,219000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5490855,BU2025-03474,55174425310000,2025-11-18,2025,new_construction,residential_new,inspections,342085.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5490861,BU2025-03480,55174435500000,2025-11-18,2025,new_construction,residential_new,inspections,237206.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5491046,BU2025-03475,55174456170000,2025-11-18,2025,new_construction,residential_new,inspections,248765.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5491049,BU2025-03476,55174456760000,2025-11-18,2025,new_construction,residential_new,inspections,317753.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5496734,BU2025-03485,55174455900000,2025-11-18,2025,new_construction,residential_new,inspections,434660.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5498148,BU2025-03473,55174444290000,2025-11-18,2025,new_construction,residential_new,inspections,408199.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5506484,BU2025-03478,55288217200000,2025-11-18,2025,new_construction,residential_new,inspections,216000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5302094,BU2025-03472,46820450430000,2025-11-17,2025,new_construction,residential_new,inspections,186000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5479276,BU2025-03456,55763609250000,2025-11-17,2025,new_construction,residential_new,inspections,162300.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5487912,BU2025-03463,55196438210000,2025-11-17,2025,new_construction,residential_new,inspections,370925.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5503059,BU2025-03444,55174501930000,2025-11-13,2025,new_construction,residential_new,inspections,201300.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5505050,BU2025-03435,55174408470000,2025-11-13,2025,new_construction,residential_new,inspections,184900.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5508524,BU2025-03433,55092178890000,2025-11-13,2025,upfit,commercial_upfit,inspections,443847.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5492908,BU2025-03431,55164251660000,2025-11-12,2025,new_construction,residential_new,inspections,280665.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5478604,BU2025-03289,56131820780000,2025-11-10,2025,new_construction,residential_new,inspections,130000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5492893,BU2025-03414,46816187260000,2025-11-10,2025,new_construction,residential_new,inspections,317600.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5493733,BU2025-03417,46817212740000,2025-11-10,2025,new_construction,residential_new,inspections,288627.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5495671,BU2025-03416,46815813040000,2025-11-10,2025,new_construction,residential_new,inspections,211008.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5508080,BU2025-03413,46816158070000,2025-11-10,2025,new_construction,residential_new,inspections,317600.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5497870,BU2025-03400,55173488190000,2025-11-07,2025,new_construction,residential_new,inspections,183900.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5498158,BU2025-03398,55174501130000,2025-11-07,2025,new_construction,residential_new,inspections,185100.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5501136,BU2025-03397,55173551430000,2025-11-07,2025,new_construction,residential_new,inspections,180000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5502129,BU2025-03404,56106935050000,2025-11-07,2025,new_construction,residential_new,inspections,424160.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5327429,BU2025-03376,46728436530000,2025-11-06,2025,new_construction,residential_new,inspections,145232.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5484226,BU2025-03387,56039994020000,2025-11-06,2025,new_construction,residential_new,inspections,125000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5506935,BU2025-03380,45991179960000,2025-11-06,2025,commercial_new_construction,commercial_trailer_office,inspections,150000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5317761,BU2025-03354,56218217280000,2025-11-05,2025,new_construction,residential_new,inspections,144400.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5497330,BU2025-03363,56106485910000,2025-11-05,2025,new_construction,residential_new,inspections,163790.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5497331,BU2025-03359,56106495210000,2025-11-05,2025,new_construction,residential_new,inspections,145608.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5497332,BU2025-03356,56106495410000,2025-11-05,2025,new_construction,residential_new,inspections,145608.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5497333,BU2025-03365,56106495720000,2025-11-05,2025,new_construction,residential_new,inspections,145608.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5497334,BU2025-03367,56106495920000,2025-11-05,2025,new_construction,residential_new,inspections,163790.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5497553,BU2025-03361,55163186780000,2025-11-05,2025,new_construction,residential_new,inspections,295588.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5508615,BU2025-03364,55258552120000,2025-11-05,2025,new_construction,residential_new,inspections,443603.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5291436,BU2025-03352,56213814220000,2025-11-04,2025,upfit,commercial_new,closed,6146674.45,residential_growth,major_growth,residential,major_value,completed,100.0,True,True,major_new_growth
5299671,BU2025-03334,55262385910000,2025-11-04,2025,residential_manufactored_home,residential_mobile,inspections,147000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5302461,BU2025-03342,56130941520000,2025-11-04,2025,new_construction,residential_new,inspections,124000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5475335,BU2025-03343,55095151460000,2025-11-04,2025,new_construction,residential_new,inspections,220000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5479348,BU2025-03348,56302349940000,2025-11-04,2025,new_construction,residential_new,inspections,522640.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5492899,BU2025-03349,46820357890000,2025-11-04,2025,new_construction,residential_new,inspections,240000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5497551,BU2025-03346,55173468690000,2025-11-04,2025,new_construction,residential_new,inspections,225000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5500426,BU2025-03265,56039867610000,2025-11-04,2025,new_construction,residential_new,inspections,129000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5500427,BU2025-03270,56039867910000,2025-11-04,2025,new_construction,residential_new,inspections,129000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5500428,BU2025-03269,56039877020000,2025-11-04,2025,new_construction,residential_new,inspections,129000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5500429,BU2025-03268,56039877230000,2025-11-04,2025,new_construction,residential_new,inspections,129000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5503188,BU2025-03340,66037242580000,2025-11-04,2025,new_construction,residential_new,inspections,430000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5295959,BU2025-03324,56133267820000,2025-11-03,2025,new_construction,residential_new,inspections,213500.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5475807,BU2025-03325,46814840460000,2025-11-03,2025,new_construction,residential_new,inspections,231556.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5483010,BU2025-03326,46815803530000,2025-11-03,2025,new_construction,residential_new,inspections,209450.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5494248,BU2025-03331,56117489130000,2025-11-03,2025,new_construction,residential_new,inspections,150000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5494987,BU2025-03329,56947074720000,2025-11-03,2025,residential_manufactored_home,residential_mobile,inspections,248179.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5285116,BU2025-03316,56824851060000,2025-10-31,2025,new_construction,residential_new,inspections,180000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5500430,BU2025-03267,56039877440000,2025-10-31,2025,new_construction,residential_new,inspections,129000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5500431,BU2025-03266,56039877650000,2025-10-31,2025,new_construction,residential_new,inspections,129000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5507986,BU2025-03313,56208212260000,2025-10-31,2025,commercial_new_construction,commercial_new,inspections,294825.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5508468,BU2025-03311,46833763320000,2025-10-31,2025,new_construction,residential_new,inspections,500000.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5482146,BU2025-03293,56106496440000,2025-10-30,2025,new_construction,residential_new,inspections,145608.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5482147,BU2025-03302,56106496650000,2025-10-30,2025,new_construction,residential_new,inspections,145608.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5482148,BU2025-03306,56106496850000,2025-10-30,2025,new_construction,residential_new,inspections,145608.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5482149,BU2025-03294,56107406050000,2025-10-30,2025,new_construction,residential_new,inspections,145608.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5491024,BU2025-03298,56106496030000,2025-10-30,2025,new_construction,residential_new,inspections,163790.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5496859,BU2025-03295,56107406360000,2025-10-30,2025,new_construction,residential_new,inspections,163790.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5500229,BU2025-03303,56212074070000,2025-10-30,2025,commercial_new_construction,commercial_new,inspections,594575.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5500230,BU2025-03304,56212074070000,2025-10-30,2025,commercial_new_construction,commercial_new,inspections,594575.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5507985,BU2025-03299,56208212260000,2025-10-30,2025,commercial_new_construction,commercial_new,inspections,230000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5242303,BU2025-03288,56020084910000,2025-10-29,2025,upfit,commercial_upfit,closed,980000.0,commercial_activity,major_growth,commercial,major_value,completed,100.0,True,True,major_new_growth
5481983,BU2025-03283,46816158640000,2025-10-29,2025,new_construction,residential_new,inspections,269000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5496779,BU2025-03280,46816168210000,2025-10-29,2025,new_construction,residential_new,inspections,288627.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5507972,BU2025-03287,56130166530000,2025-10-29,2025,new_construction,residential_new,inspections,160000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5472759,BU2025-03259,46816167980000,2025-10-28,2025,new_construction,residential_new,inspections,283000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5290242,BU2025-03251,46728456350000,2025-10-27,2025,new_construction,residential_new,inspections,145232.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5456175,BU2025-03253,55588453230000,2025-10-27,2025,new_construction,residential_new,inspections,475000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5501308,BU2025-03257,46725271000000,2025-10-27,2025,commercial_new_construction,commercial_new,inspections,7300000.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5507131,BU2025-03252,56227661930000,2025-10-27,2025,commercial_new_construction,commercial_new,inspections,1059904.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5504462,BU2025-03235,55191478600000,2025-10-24,2025,commercial_new_construction,commercial_new,inspections,3065000.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5474362,BU2025-03218,56307698200000,2025-10-23,2025,new_construction,residential_new,inspections,300000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5481440,BU2025-03220,55173571050000,2025-10-23,2025,new_construction,residential_new,inspections,224100.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5484056,BU2025-03209,46814716180000,2025-10-23,2025,new_construction,residential_new,inspections,131000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5489405,BU2025-03216,55164114780000,2025-10-23,2025,new_construction,residential_new,inspections,295588.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5286698,BU2025-03193,56221552760000,2025-10-22,2025,new_construction,residential_new,inspections,130000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5320026,BU2025-03196,55360153390000,2025-10-22,2025,new_construction,residential_new,inspections,300000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5456702,BU2025-03119,45979346770000,2025-10-22,2025,commercial_addition,commercial_addition,inspections,316000.0,commercial_activity,major_growth,commercial,high_value,active_construction,100.0,True,True,major_new_growth
5478635,BU2025-03189,56336874780000,2025-10-22,2025,upfit,commercial_upfit,inspections,1332094.0,commercial_activity,major_growth,commercial,major_value,active_construction,100.0,True,True,major_new_growth
5478636,BU2025-03188,56336874780000,2025-10-22,2025,upfit,commercial_upfit,issued,2789294.0,commercial_activity,major_growth,commercial,major_value,issued_or_starting,100.0,True,True,major_new_growth
